# source	name	title	description	npm_deps	registry_deps	vendored_file
reactbits	ProfileCard-TS-TW	ProfileCard	Animated profile card glare with 3D hover effect.			vendor/reactbits/r/ProfileCard-TS-TW.json
reactbits	ScrollStack-TS-TW	ScrollStack	Overlapping card stack reveals on scroll with depth layering.	lenis@^1.3.13		vendor/reactbits/r/ScrollStack-TS-TW.json
reactbits	SpotlightCard-TS-TW	SpotlightCard	Dynamic spotlight follows cursor casting gradient illumination.			vendor/reactbits/r/SpotlightCard-TS-TW.json
reactbits	BorderGlow-TS-TW	BorderGlow	Glowing mesh-gradient border that follows cursor direction and intensifies near edges.			vendor/reactbits/r/BorderGlow-TS-TW.json
reactbits	LineSidebar-TS-TW	LineSidebar	Static list navigation with a cursor-proximity effect that shifts and highlights nearby items.			vendor/reactbits/r/LineSidebar-TS-TW.json
reactbits	OptionWheel-TS-TW	OptionWheel	Curved option picker that spins via scroll, drag, or arrow keys, fading and tilting items away from the selection.			vendor/reactbits/r/OptionWheel-TS-TW.json
reactbits	SpecularButton-TS-TW	SpecularButton	Glass button with a shader-driven specular rim light that sweeps around the edge and follows the cursor.	ogl@^1.0.11		vendor/reactbits/r/SpecularButton-TS-TW.json
reactbits	CursorGrid-TS-TW	CursorGrid	Canvas grid whose cells light up around the cursor with configurable radius, falloff and click pulses.			vendor/reactbits/r/CursorGrid-TS-TW.json
reactbits	CurvedInput-TS-TW	CurvedInput	Arc-bent input bar with text, caret and submit button all following the curve.			vendor/reactbits/r/CurvedInput-TS-TW.json
reactbits	Stack-TS-TW	Stack	Layered stack with swipe animations, autoplay and smooth transitions.	motion@^12.23.12		vendor/reactbits/r/Stack-TS-TW.json
reactbits	Stepper-TS-TW	Stepper	Animated multi-step progress indicator with active state transitions.	motion@^12.23.12		vendor/reactbits/r/Stepper-TS-TW.json
reactbits	TiltedCard-TS-TW	TiltedCard	3D perspective tilt card reacting to pointer.	motion@^12.23.12		vendor/reactbits/r/TiltedCard-TS-TW.json
reactbits	StaggeredMenu-TS-TW	StaggeredMenu	Menu with staggered item animations and smooth transitions on open/close.	gsap@^3.13.0		vendor/reactbits/r/StaggeredMenu-TS-TW.json
reactbits	ReflectiveCard-TS-TW	ReflectiveCard	Card with dynamic webcam reflection and glare effects that respond to cursor movement.	lucide-react@^0.542.0		vendor/reactbits/r/ReflectiveCard-TS-TW.json
reactbits	Aurora-TS-TW	Aurora	Flowing aurora gradient background.	ogl@^1.0.11		vendor/reactbits/r/Aurora-TS-TW.json
reactbits	Balatro-TS-TW	Balatro	The balatro shader, fully customizalbe and interactive.	ogl@^1.0.11		vendor/reactbits/r/Balatro-TS-TW.json
reactbits	Ballpit-TS-TW	Ballpit	Physics ball pit simulation with bouncing colorful spheres.	gsap@^3.13.0,three@^0.180.0		vendor/reactbits/r/Ballpit-TS-TW.json
reactbits	Beams-TS-TW	Beams	Crossing animated ribbons with customizable properties.	three@^0.180.0,@react-three/fiber@^9.3.0,@react-three/drei@^10.7.4		vendor/reactbits/r/Beams-TS-TW.json
reactbits	ColorBends-TS-TW	ColorBends	Vibrant color bends with smooth flowing animation.	three@^0.180.0		vendor/reactbits/r/ColorBends-TS-TW.json
reactbits	DarkVeil-TS-TW	DarkVeil	Subtle dark background with a smooth animation and postprocessing.	ogl@^1.0.11		vendor/reactbits/r/DarkVeil-TS-TW.json
reactbits	Dither-TS-TW	Dither	Retro dithered noise shader background.	@react-three/fiber@^9.3.0,@react-three/postprocessing@^3.0.4,postprocessing@^6.36.0,three@^0.180.0		vendor/reactbits/r/Dither-TS-TW.json
reactbits	DotField-TS-TW	DotField	Interactive dot grid with cursor bulge, glow, sparkle, and wave effects.			vendor/reactbits/r/DotField-TS-TW.json
reactbits	DotGrid-TS-TW	DotGrid	Animated dot grid with cursor interactions.	gsap@^3.13.0		vendor/reactbits/r/DotGrid-TS-TW.json
reactbits	FaultyTerminal-TS-TW	FaultyTerminal	Terminal CRT scanline squares effect with flicker + noise.	ogl@^1.0.11		vendor/reactbits/r/FaultyTerminal-TS-TW.json
reactbits	Galaxy-TS-TW	Galaxy	Parallax realistic starfield with pointer interactions.	ogl@^1.0.11		vendor/reactbits/r/Galaxy-TS-TW.json
reactbits	GradientBlinds-TS-TW	GradientBlinds	Layered gradient blinds with spotlight and noise distortion.	ogl@^1.0.11		vendor/reactbits/r/GradientBlinds-TS-TW.json
reactbits	Lightfall-TS-TW	Lightfall	Colorful light streaks raining down a glowing tunnel with a cursor light.	ogl@^1.0.11		vendor/reactbits/r/Lightfall-TS-TW.json
reactbits	Ferrofluid-TS-TW	Ferrofluid	A churning magnetic fluid traced by glowing contour lines, with a cursor magnet.	ogl@^1.0.11		vendor/reactbits/r/Ferrofluid-TS-TW.json
reactbits	Grainient-TS-TW	Grainient	Grainy gradient swirls with soft wave distortion.	ogl@^1.0.11		vendor/reactbits/r/Grainient-TS-TW.json
reactbits	GridScan-TS-TW	GridScan	Animated grid room 3D scan effect and cool interactions.	face-api.js@^0.22.2,postprocessing@^6.36.0,three@^0.180.0		vendor/reactbits/r/GridScan-TS-TW.json
reactbits	GridDistortion-TS-TW	GridDistortion	Warped grid mesh distorts smoothly reacting to cursor.	three@^0.180.0		vendor/reactbits/r/GridDistortion-TS-TW.json
reactbits	GridMotion-TS-TW	GridMotion	Perspective moving grid lines based on cusror position.	gsap@^3.13.0		vendor/reactbits/r/GridMotion-TS-TW.json
reactbits	Hyperspeed-TS-TW	Hyperspeed	Animated lines continuously moving to simulate hyperspace travel on click hold.	postprocessing@^6.36.0,three@^0.180.0		vendor/reactbits/r/Hyperspeed-TS-TW.json
reactbits	Iridescence-TS-TW	Iridescence	Slick iridescent shader with shifting waves.	ogl@^1.0.11		vendor/reactbits/r/Iridescence-TS-TW.json
reactbits	LetterGlitch-TS-TW	LetterGlitch	Matrix style letter animation.			vendor/reactbits/r/LetterGlitch-TS-TW.json
reactbits	LightRays-TS-TW	LightRays	Volumetric light rays/beams with customizable direction.	ogl@^1.0.11		vendor/reactbits/r/LightRays-TS-TW.json
reactbits	Lightning-TS-TW	Lightning	Procedural lightning bolts with branching and glow flicker.			vendor/reactbits/r/Lightning-TS-TW.json
reactbits	LineWaves-TS-TW	LineWaves	Animated line wave pattern with colorful warped distortion.	ogl@^1.0.11		vendor/reactbits/r/LineWaves-TS-TW.json
reactbits	EvilEye-TS-TW	EvilEye	Procedural evil eye shader with animated iris, slit pupil, and fiery outer glow.	ogl@^1.0.11		vendor/reactbits/r/EvilEye-TS-TW.json
reactbits	Radar-TS-TW	Radar	Radar sweep effect with concentric rings, radial spokes, and a rotating beam.	ogl@^1.0.11		vendor/reactbits/r/Radar-TS-TW.json
reactbits	SoftAurora-TS-TW	SoftAurora	Soft aurora borealis shader with 3D Perlin noise and cosine gradient palettes.	ogl@^1.0.11		vendor/reactbits/r/SoftAurora-TS-TW.json
reactbits	LiquidChrome-TS-TW	LiquidChrome	Liquid metallic chrome shader with flowing reflective surface.	ogl@^1.0.11		vendor/reactbits/r/LiquidChrome-TS-TW.json
reactbits	Orb-TS-TW	Orb	Floating energy orb with customizable hover effect.	ogl@^1.0.11		vendor/reactbits/r/Orb-TS-TW.json
reactbits	Particles-TS-TW	Particles	Configurable particle system.	ogl@^1.0.11		vendor/reactbits/r/Particles-TS-TW.json
reactbits	PixelBlast-TS-TW	PixelBlast	Exploding pixel particle bursts with optional liquid postprocessing.	postprocessing@^6.36.0,three@^0.180.0		vendor/reactbits/r/PixelBlast-TS-TW.json
reactbits	Plasma-TS-TW	Plasma	Organic plasma gradients swirl + morph with smooth turbulence.	ogl@^1.0.11		vendor/reactbits/r/Plasma-TS-TW.json
reactbits	PlasmaWave-TS-TW	PlasmaWave	Raymarched plasma waves with dual-wave interference and OGL.	ogl@^1.0.11		vendor/reactbits/r/PlasmaWave-TS-TW.json
reactbits	Prism-TS-TW	Prism	Rotating prism with configurable intensity, size, and colors.	ogl@^1.0.11		vendor/reactbits/r/Prism-TS-TW.json
reactbits	PrismaticBurst-TS-TW	PrismaticBurst	Burst of light rays with controllable color, distortion, amount.	ogl@^1.0.11		vendor/reactbits/r/PrismaticBurst-TS-TW.json
reactbits	RippleGrid-TS-TW	RippleGrid	A grid that continuously animates with a ripple effect.	ogl@^1.0.11		vendor/reactbits/r/RippleGrid-TS-TW.json
reactbits	Silk-TS-TW	Silk	Smooth waves background with soft lighting.	@react-three/fiber@^9.3.0,three@^0.180.0		vendor/reactbits/r/Silk-TS-TW.json
reactbits	SideRays-TS-TW	SideRays	Animated light rays emanating from the side with customizable colors and speed.	ogl@^1.0.11		vendor/reactbits/r/SideRays-TS-TW.json
reactbits	ShapeGrid-TS-TW	ShapeGrid	Animated grid with shape variants (square, hexagon, circle, triangle) + direction customization.			vendor/reactbits/r/ShapeGrid-TS-TW.json
reactbits	Threads-TS-TW	Threads	Animated pattern of lines forming a fabric-like motion.	ogl@^1.0.11		vendor/reactbits/r/Threads-TS-TW.json
reactbits	Waves-TS-TW	Waves	Layered lines that form smooth wave patterns with animation.			vendor/reactbits/r/Waves-TS-TW.json
reactbits	LiquidEther-TS-TW	LiquidEther	Interactive liquid shader with flowing distortion and customizable colors.	three@^0.180.0		vendor/reactbits/r/LiquidEther-TS-TW.json
reactbits	FloatingLines-TS-TW	FloatingLines	3D floating lines that react to cursor movement.	three@^0.180.0		vendor/reactbits/r/FloatingLines-TS-TW.json
reactbits	LightPillar-TS-TW	LightPillar	Vertical pillar of light with glow effects.	three@^0.180.0		vendor/reactbits/r/LightPillar-TS-TW.json
reactbits	PixelSnow-TS-TW	PixelSnow	Falling pixelated snow effect with customizable density and speed.	three@^0.180.0		vendor/reactbits/r/PixelSnow-TS-TW.json
motion-primitives	accordion	Accordion	A collapsible content component with smooth animations for showing and hiding content.	motion		vendor/motion-primitives/core/accordion.tsx
motion-primitives	animated-background	Animated Background	A component that provides animated background effects for UI elements.	motion		vendor/motion-primitives/core/animated-background.tsx
motion-primitives	animated-group	Animated Group	A container component that applies coordinated animations to a group of child elements.	motion		vendor/motion-primitives/core/animated-group.tsx
motion-primitives	animated-number	Animated Number	A component that animates number changes with smooth transitions.	motion		vendor/motion-primitives/core/animated-number.tsx
motion-primitives	border-trail	Border Trail	An effect that creates animated border trails around elements on interaction.	motion		vendor/motion-primitives/core/border-trail.tsx
motion-primitives	carousel	Carousel	A component for cycling through elements with smooth transitions.	motion		vendor/motion-primitives/core/carousel.tsx
motion-primitives	cursor	Cursor	A custom cursor component with animated effects and interactions.	motion		vendor/motion-primitives/core/cursor.tsx
motion-primitives	dialog	Dialog	A modal dialog component with smooth entrance and exit animations.	motion		vendor/motion-primitives/core/dialog.tsx
motion-primitives	disclosure	Disclosure	A component that shows and hides content with animated transitions.	motion		vendor/motion-primitives/core/disclosure.tsx
motion-primitives	in-view	In View	A component that triggers animations when elements enter the viewport.	motion		vendor/motion-primitives/core/in-view.tsx
motion-primitives	infinite-slider	Infinite Slider	A slider component that loops infinitely through its content.	motion,react-use-measure		vendor/motion-primitives/core/infinite-slider.tsx
motion-primitives	transition-panel	Transition Panel	A panel component with smooth transitions between different states.	motion		vendor/motion-primitives/core/transition-panel.tsx
motion-primitives	text-effect	Text Effect	A component that applies animated effects to text content.	motion		vendor/motion-primitives/core/text-effect.tsx
motion-primitives	text-loop	Text Loop	A component that cycles through different text phrases with animations.	motion		vendor/motion-primitives/core/text-loop.tsx
motion-primitives	text-morph	Text Morph	A component that morphs between different text strings with smooth transitions.	motion		vendor/motion-primitives/core/text-morph.tsx
motion-primitives	text-roll	Text Roll	A component that animates text with a rolling effect.	motion		vendor/motion-primitives/core/text-roll.tsx
motion-primitives	text-scramble	Text Scramble	A component that creates a scrambling text effect during transitions.	motion		vendor/motion-primitives/core/text-scramble.tsx
motion-primitives	text-shimmer	Text Shimmer	A component that applies a shimmering effect to text.	motion		vendor/motion-primitives/core/text-shimmer.tsx
motion-primitives	text-shimmer-wave	Text Shimmer Wave	A component that creates a wave-like shimmer effect on text.	motion		vendor/motion-primitives/core/text-shimmer-wave.tsx
motion-primitives	magnetic	Magnetic	A component that creates a magnetic attraction effect on hover.	motion		vendor/motion-primitives/core/magnetic.tsx
motion-primitives	morphing-dialog	Morphing Dialog	A dialog that morphs from its trigger element with smooth transitions.	motion		vendor/motion-primitives/core/morphing-dialog.tsx
motion-primitives	morphing-popover	Morphing Popover	A popover component that morphs from its trigger with fluid animations.	motion		vendor/motion-primitives/core/morphing-popover.tsx
motion-primitives	dock	Dock	A macOS-style dock component with scaling and movement effects.	motion		vendor/motion-primitives/core/dock.tsx
motion-primitives	glow-effect	Glow Effect	A component that creates a glowing effect on elements based on cursor movement.	motion		vendor/motion-primitives/core/glow-effect.tsx
motion-primitives	image-comparison	Image Comparison	A component for comparing two images with an interactive slider.	motion		vendor/motion-primitives/core/image-comparison.tsx
motion-primitives	toolbar-dynamic	Toolbar Dynamic	A toolbar component with dynamic appearance based on user interaction.	motion		vendor/motion-primitives/core/toolbar-dynamic.tsx
motion-primitives	toolbar-expandable	Toolbar Expandable	An expandable toolbar that reveals additional options with animations.	motion,react-use-measure		vendor/motion-primitives/core/toolbar-expandable.tsx
motion-primitives	progressive-blur	Progressive Blur	A component that applies progressive blur effects to elements.	motion		vendor/motion-primitives/core/progressive-blur.tsx
motion-primitives	scroll-progress	Scroll Progress	A component that visualizes scroll progress with animated indicators.	motion		vendor/motion-primitives/core/scroll-progress.tsx
motion-primitives	sliding-number	Sliding Number	A component that transitions between numbers with a sliding animation.	motion,react-use-measure		vendor/motion-primitives/core/sliding-number.tsx
motion-primitives	spotlight	Spotlight	A component that creates a spotlight effect following cursor movement.	motion		vendor/motion-primitives/core/spotlight.tsx
motion-primitives	spinning-text	Spinning Text	A component that animates text with a spinning rotation effect.	motion		vendor/motion-primitives/core/spinning-text.tsx
motion-primitives	tilt	Tilt	A component that applies 3D tilt effects to elements based on cursor position.	motion		vendor/motion-primitives/core/tilt.tsx
fancy	underline-center	Underline Center	Animated link underline that grows outward from the center on hover.	motion		vendor/fancy/r/underline-center.json
fancy	underline-comes-in-goes-out	Underline Comes In Goes Out	Link underline that slides in from one side on hover and exits through the other.	clsx,motion		vendor/fancy/r/underline-comes-in-goes-out.json
fancy	underline-goes-out-comes-in	Underline Goes Out Comes In	Link underline that exits through one side on hover and re-enters from the other.	clsx,motion		vendor/fancy/r/underline-goes-out-comes-in.json
fancy	underline-to-background	Underline To Background	Link underline that expands upward into a full text background highlight on hover.	motion		vendor/fancy/r/underline-to-background.json
fancy	media-between-text	Media Between Text	Inline image/video that expands between two pieces of text on hover, in-view, or via ref trigger.	motion		vendor/fancy/r/media-between-text.json
fancy	marquee-along-svg-path	Marquee Along Svg Path	Repeating marquee content flowing along an arbitrary SVG path; hover slowdown and scroll-velocity aware.	motion		vendor/fancy/r/marquee-along-svg-path.json
fancy	element-along-svg-path	Element Along Svg Path	Arbitrary React children traveling along an SVG path — auto loop or scroll-driven progress.	motion		vendor/fancy/r/element-along-svg-path.json
fancy	letter-swap-forward-anim	Letter Swap Forward Anim	Per-letter roll-over hover where letters swap through vertically in stagger (studio nav-link hover).	motion		vendor/fancy/r/letter-swap-forward-anim.json
fancy	letter-swap-pingpong-anim	Letter Swap Pingpong Anim	Per-letter hover swap that ping-pongs letters up and back with springs; debounced hover.	lodash,motion		vendor/fancy/r/letter-swap-pingpong-anim.json
fancy	text-along-path	Text Along Path	SVG text following an arbitrary path, with auto or scroll-driven travel and easing control.	motion		vendor/fancy/r/text-along-path.json
fancy	breathing-text	Breathing Text	Text looping between two fontVariationSettings states — real variable-font axis animation.	motion		vendor/fancy/r/breathing-text.json
fancy	variable-font-hover-by-letter	Variable Font Hover By Letter	Per-letter variable-font axis interpolation on hover (defaults wght 400→900, slnt 0→-10).	lodash,motion		vendor/fancy/r/variable-font-hover-by-letter.json
fancy	elastic-line	Elastic Line	Cursor-bending elastic SVG divider line that springs back on release.	motion	use-dimensions,use-elastic-line-events	vendor/fancy/r/elastic-line.json
fancy	gooey-svg-filter	Gooey Svg Filter	Reusable gooey SVG filter def — apply via CSS filter url(#id) for metaball/goo effects.			vendor/fancy/r/gooey-svg-filter.json
fancy	pixelate-svg-filter	Pixelate Svg Filter	Reusable pixelation SVG filter def — apply via CSS filter url(#id).			vendor/fancy/r/pixelate-svg-filter.json
